year,avg_unemployment_rate
2005,5.0636363636363635
2006,4.6000000000000005
2007,4.618181818181817
2008,5.872727272727274
2009,9.41818181818182
2010,9.590909090909092
2011,8.918181818181818
2012,8.054545454545455
2013,7.3
2014,6.118181818181819
2015,5.236363636363636
2016,4.881818181818182
2017,4.327272727272727
2018,3.8818181818181823
2019,3.6545454545454543
2020,8.50909090909091
2021,5.281818181818182
2022,3.6090909090909093
